Date Time,TimeToPass,Car#,TotalDailyCars,Temp
2024-11-16 10:24:22, 1813, 1 , 35, 53
2024-11-16 10:24:26, 2002, 1 , 36, 53
2024-11-16 10:24:29, 1954, 1 , 37, 52
2024-11-16 10:24:42, 1405, 1 , 38, 53
2024-11-16 10:24:44, 878, 1 , 39, 53
2024-11-16 10:25:47, 2906, 1 , 40, 53
2024-11-16 10:25:48, 4148, 1 , 41, 52
2024-11-16 10:26:02, 122, 1 , 42, 52
2024-11-16 10:26:13, 873, 1 , 43, 52
2024-11-16 10:26:17, 14, 1 , 44, 52
2024-11-16 10:26:45, 113, 1 , 45, 52
2024-11-16 10:26:57, 17, 1 , 46, 52
2024-11-16 10:27:18, 8559, 1 , 47, 52
2024-11-16 10:27:46, 6, 1 , 48, 52
2024-11-16 10:31:28, 1470, 1 , 49, 53
2024-11-16 10:31:30, 3952, 1 , 50, 53
2024-11-16 10:34:56, 7911, 1 , 51, 52
2024-11-16 10:35:15, 27486, 1 , 52, 53
2024-11-16 10:35:30, 42350, 1 , 53, 53
2024-11-16 10:35:50, 7092, 1 , 54, 53
2024-11-16 10:36:01, 17635, 1 , 55, 53
2024-11-16 10:37:00, 28140, 1 , 56, 53
2024-11-16 10:37:24, 1325, 1 , 57, 53
2024-11-16 10:41:51, 71, 1 , 58, 53
2024-11-16 10:41:58, 3955, 1 , 59, 53
2024-11-16 10:42:09, 1684, 1 , 60, 53
2024-11-16 10:42:15, 2142, 1 , 61, 52
2024-11-16 10:42:29, 4260, 1 , 62, 52
